2021/06/21 18:14:59+00,Sabal Palm Lake - adjacent to LWDD L-49 canal,PalmBeach,Yes,,26.342829376334,-80.1064767031476,Dominant taxon: Chlamydomonas sp.,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,,
2021/06/21 16:30:00+00,C44 canal - 140m North of S308C,Martin,Yes,,26.9860136298596,-80.6207604929066,Dominant taxon: Microcystis aeruginosa,36,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,Yes,,,
2021/06/21 16:20:00+00,Lake Okeechobee - S308C (lakeside),Martin,Yes,,26.9847846636733,-80.6215229728135,Dominant taxon: Microcystis aeruginosa,130,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,Yes,,,
2021/06/21 14:57:00+00,C43 canal - S79 (upstream),Lee,Yes,Slight film on surface of the water upstream and downstream of platform,26.72281,-81.69097,Dominant taxon: Microcystis aeruginosa,2.2,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2415/attachments/2193?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/21 12:20:00+00,C43 canal - S77 (upstream rim canal),Glades,Yes,Slight film on surface of the water upstream and downstream of platform,26.84072,-81.08354,Dominant taxon: Cylindrospermopsis raciborskii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2416/attachments/2195?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,,
2021/06/21 12:08:00+00,Lake Okeechobee - Pahokee Ramp,PalmBeach,No,,No visible BGA. Pump running at boat ramp. Microcystin samples collected at 0.3 m.,26.82525,-80.66788,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2417/attachments/2197?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,
2021/06/17 15:10:00+00,Tampa Bay - Piney 9,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.605986,-82.601167,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/17 14:50:00+00,Tampa Bay - Piney 8,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.612975,-82.577642,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/17 14:29:59+00,Tampa Bay - Piney 6,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.626,-82.5915,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/17 14:05:00+00,Tampa Bay - Piney 3,Hillsborough,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.6434,-82.5771,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/17 13:55:00+00,Caloosahatchee River - S Olga Dr,Lee,Yes,,26.7241878,-81.7125698,Dominant taxon: Microcystis aeruginosa,0.82 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2404/attachments/2189?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/17 13:50:00+00,Tampa Bay - Piney 18,Hillsborough,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.682529,-82.49677,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/17 13:44:59+00,Tampa Bay - Piney 7,Hillsborough,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.6625,-82.563904,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/17 13:25:00+00,Caloosahatchee River - Sebastian Ct canal,Lee,No,,26.7130142,-81.6210147,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2403/attachments/2187?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,,
2021/06/17 12:35:00+00,Caloosahatchee River - Barron Park LaBelle,Hendry,Yes,,26.7689454,-81.4363472,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2402/attachments/2185?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,,
2021/06/16 16:54:00+00,Lake Monroe - Center (LMAC),Volusia,No,,28.83496,-81.27091,Dominant taxon: Cylindrospermopsis raciborskii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.20 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Nodularin: not detected,Saxitoxins: not detected,,Yes,,
2021/06/16 14:56:00+00,Lake Jesup - Center (OW-CTR),Seminole,Yes,,28.7268,-81.2111,Dominant taxon: Microcystis aeruginosa,0.47 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,Yes,,
2021/06/16 14:45:00+00,C44 canal - Port Mayaca Boat Ramp,Martin,Yes,,26.9865745454327,-80.6144546128682,Co-dominant taxa were: Microcystis aeruginosa and Microcystis sp.,8.4,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,Yes,,,
2021/06/16 12:38:00+00,Lake Washington - Center (LWC),Brevard,No,,28.142439,-80.746111,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2400/attachments/2184?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,
2021/06/15 16:20:00+00,Rodman Reservoir - Buckman lock,Putnam,Yes,Green water. Comments by lock staff that bloom peaked late last week.,29.5458546,-81.7286119,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2392/attachments/2180?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/15 14:11:00+00,SJR - Shands Bridge (20030157),StJohns,No,,29.98163056,-81.62213889,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No,
2021/06/15 14:00:00+00,Lake Okeechobee - Pahokee Marina,PalmBeach,Yes,,26.8252945653141,-80.667903613474,Dominant taxon: Microcystis aeruginosa,0.77 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,Yes,,,
2021/06/15 13:28:59+00,Doctors Lake - Center (DTL),Clay,No,,30.13805556,-81.72722222,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No,
2021/06/15 13:10:00+00,SJR - Mandarin Point (MP72),Duval,No,,30.15666667,-81.68388889,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No,
2021/06/15 11:51:00+00,C51 canal - S155 (upstream),PalmBeach,Yes,Visible BGA upstream of C51S155 structure,26.64484,-80.05509,Dominant taxon: Microcystis aeruginosa,0.59 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: 0.20 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2393/attachments/2183?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/14 18:42:00+00,Lake Okeechobee (rim canal) - Hoover Dike Road City Boat Ramp-floating dock near S169,Hendry,No,No visible BGA,26.76156,-80.91988,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2389/attachments/2177?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/14 17:40:00+00,Lake Okeechobee - CULV10A,PalmBeach,Yes,High density BGA present on water surface. BGA bright green in color with no defined boundaries. Bloom upstream of CULV10A. Gates open. Flow is into Lake Okeechobee,26.91708,-80.6131,Dominant taxon: Microcystis aeruginosa,42,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2388/attachments/2175?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/14 16:34:00+00,Miami Canal - G372,PalmBeach,No,BGA not visible.,26.4357,-80.80781,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2387/attachments/2174?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/14 15:13:00+00,C43 canal - S79 (upstream),Lee,Yes,Slight amount of bright green particulates visible in the water column upstream and downstream of the S79 platform. Gates open at the S79,26.72275,-81.691,Dominant taxon: Microcystis aeruginosa,0.52 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2391/attachments/2179?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/14 14:28:00+00,Storm Treatment Area 34 - G379D,PalmBeach,No,No BGA present at site or in sample.,26.33948,-80.62438,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2386/attachments/2173?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/14 12:49:59+00,C43 canal - S77 (upstream),Glades,Yes,Slight amount of BGA visible in the water column upstream and down stream of the S77 platform. Gates open at S77 structure.,26.84077,-81.08352,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2390/attachments/2178?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/14 11:48:00+00,Lake Okeechobee - S308C (lakeside),Martin,No,No visible BGA.,26.9849,-80.62146,Dominant taxon: Microcystis aeruginosa,5,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2385/attachments/2172?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/10 15:55:00+00,Tampa Bay - Piney 10,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.572583,-82.629644,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/10 15:45:00+00,Tampa Bay - Piney 11,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.576508,-82.652494,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/10 15:17:59+00,Lake George - Center (LEO),Volusia,No,,29.3083055555556,-81.6063888888889,Co-dominant taxa were: Microcystis aeruginosa and Planktolyngbya limnetica,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.23 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Nodularin: not detected,Saxitoxins: not detected,,Yes,,
2021/06/10 15:14:59+00,Tampa Bay - Piney 13,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.552008,-82.6717,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/10 14:55:00+00,Tampa Bay - Piney 15,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.545808,-82.70095,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/10 14:29:59+00,Caloosahatchee River - S Olga Dr,Lee,Yes,,26.724208,-81.7125281,Dominant taxon: Microcystis aeruginosa,1.9,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2374/attachments/2168?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/10 14:27:00+00,Blue Cypress Lake - Center (BCL),IndianRiver,Yes,,27.7266,-80.7536,Dominant taxon: Microcystis wesenbergii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2376/attachments/2171?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/10 14:00:00+00,Caloosahatchee River - Sebastian Ct canal,Lee,No,,26.7130204,-81.6210201,mixed algae,no dominant species in sample,0.30 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2373/attachments/2166?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,
2021/06/10 13:31:59+00,Caloosahatchee River - Davis Boat Ramp,Lee,No,,26.71149,-81.75322,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/10 13:05:00+00,Caloosahatchee River - Barron Park LaBelle,Hendry,Yes,,26.7689598,-81.4363219,Dominant taxon: Microcystis aeruginosa,4,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2372/attachments/2164?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/10 12:52:00+00,Stick Marsh - North (STKM),IndianRiver,Yes,,27.81065,-80.724854,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2375/attachments/2170?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,
2021/06/10 12:40:00+00,Caloosahatchee River - Alva Boat Ramp,Lee,No,,26.71394,-81.60612,Dominant taxon: Microcystis aeruginosa,0.87 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,Yes,,,
2021/06/10 12:04:59+00,Orange River - Manatee Park,Lee,Yes,,26.6920145,-81.7773553,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2371/attachments/2162?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/09 17:22:00+00,Lake Okeechobee - CLV10A,PalmBeach,No,No visible BGA.,26.91554,-80.62553,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,,
2021/06/09 16:42:00+00,Lake Okeechobee - LZ40,PalmBeach,Yes,Bright BGA observed in low density clumps and streaks with undefined boundaries. BGA is suspended within 10cm of surface.,26.90186,-80.78913,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2359/attachments/2157?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,,
2021/06/09 16:18:59+00,Lake Okeechobee - L006,PalmBeach,Yes,Bright BGA observed in low density clumps and streaks with undefined boundaries. BGA is suspended within 10cm of surface.,26.82247,-80.78283,Dominant taxon: Microcystis aeruginosa,0.30 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2360/attachments/2158?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
